areaCode,areaName,areaType,date,totalDeaths,hospitalCases,newCasesByPublishDate
E07000041,Exeter,ltla,2021-12-11,,,124
E07000041,Exeter,ltla,2021-12-10,,,108
E07000041,Exeter,ltla,2021-12-09,,,129
E07000041,Exeter,ltla,2021-12-08,,,93
E07000041,Exeter,ltla,2021-12-07,,,133
E07000041,Exeter,ltla,2021-12-06,,,106
E07000041,Exeter,ltla,2021-12-05,,,106
E07000041,Exeter,ltla,2021-12-04,,,123
E07000041,Exeter,ltla,2021-12-03,,,155
E07000041,Exeter,ltla,2021-12-02,,,127
E07000041,Exeter,ltla,2021-12-01,,,128
E07000041,Exeter,ltla,2021-11-30,,,119
E07000041,Exeter,ltla,2021-11-29,,,110
E07000041,Exeter,ltla,2021-11-28,,,76
E07000041,Exeter,ltla,2021-11-27,,,107
E07000041,Exeter,ltla,2021-11-26,,,105
E07000041,Exeter,ltla,2021-11-25,,,110
E07000041,Exeter,ltla,2021-11-24,,,141
E07000041,Exeter,ltla,2021-11-23,,,93
E07000041,Exeter,ltla,2021-11-22,,,90
E07000041,Exeter,ltla,2021-11-21,,,106
E07000041,Exeter,ltla,2021-11-20,,,74
E07000041,Exeter,ltla,2021-11-19,,,108
E07000041,Exeter,ltla,2021-11-18,,,133
E07000041,Exeter,ltla,2021-11-17,,,82
E07000041,Exeter,ltla,2021-11-16,,,107
E07000041,Exeter,ltla,2021-11-15,,,81
E07000041,Exeter,ltla,2021-11-14,,,83
E07000041,Exeter,ltla,2021-11-13,,,93
E07000041,Exeter,ltla,2021-11-12,,,87
E07000041,Exeter,ltla,2021-11-11,,,85
E07000041,Exeter,ltla,2021-11-10,,,100
E07000041,Exeter,ltla,2021-11-09,,,83
E07000041,Exeter,ltla,2021-11-08,,,76
E07000041,Exeter,ltla,2021-11-07,,,76
E07000041,Exeter,ltla,2021-11-06,,,61
E07000041,Exeter,ltla,2021-11-05,,,84
E07000041,Exeter,ltla,2021-11-04,,,65
E07000041,Exeter,ltla,2021-11-03,,,83
E07000041,Exeter,ltla,2021-11-02,,,57
E07000041,Exeter,ltla,2021-11-01,,,67
E07000041,Exeter,ltla,2021-10-31,,,85
E07000041,Exeter,ltla,2021-10-30,,,97
E07000041,Exeter,ltla,2021-10-29,,,75
E07000041,Exeter,ltla,2021-10-28,,,91
E07000041,Exeter,ltla,2021-10-27,,,75
E07000041,Exeter,ltla,2021-10-26,,,73
E07000041,Exeter,ltla,2021-10-25,,,53
E07000041,Exeter,ltla,2021-10-24,,,91
E07000041,Exeter,ltla,2021-10-23,,,97
E07000041,Exeter,ltla,2021-10-22,,,79
E07000041,Exeter,ltla,2021-10-21,,,72
E07000041,Exeter,ltla,2021-10-20,,,83
E07000041,Exeter,ltla,2021-10-19,,,80
E07000041,Exeter,ltla,2021-10-18,,,80
E07000041,Exeter,ltla,2021-10-17,,,62
E07000041,Exeter,ltla,2021-10-16,,,71
E07000041,Exeter,ltla,2021-10-15,,,45
E07000041,Exeter,ltla,2021-10-14,,,59
E07000041,Exeter,ltla,2021-10-13,,,56
E07000041,Exeter,ltla,2021-10-12,,,82
E07000041,Exeter,ltla,2021-10-11,,,52
E07000041,Exeter,ltla,2021-10-10,,,63
E07000041,Exeter,ltla,2021-10-09,,,65
E07000041,Exeter,ltla,2021-10-08,,,64
E07000041,Exeter,ltla,2021-10-07,,,61
E07000041,Exeter,ltla,2021-10-06,,,64
E07000041,Exeter,ltla,2021-10-05,,,73
E07000041,Exeter,ltla,2021-10-04,,,56
E07000041,Exeter,ltla,2021-10-03,,,38
E07000041,Exeter,ltla,2021-10-02,,,56
E07000041,Exeter,ltla,2021-10-01,,,69
E07000041,Exeter,ltla,2021-09-30,,,43
E07000041,Exeter,ltla,2021-09-29,,,80
E07000041,Exeter,ltla,2021-09-28,,,58
E07000041,Exeter,ltla,2021-09-27,,,59
E07000041,Exeter,ltla,2021-09-26,,,40
E07000041,Exeter,ltla,2021-09-25,,,34
E07000041,Exeter,ltla,2021-09-24,,,60
E07000041,Exeter,ltla,2021-09-23,,,59
E07000041,Exeter,ltla,2021-09-22,,,30
E07000041,Exeter,ltla,2021-09-21,,,56
